p_val	avg_log2FC	pct.1	pct.2	p_val_adj
3.76733678261093e-43	0.345843637546496	0.375	0.243	1.37888293580343e-38
7.63606093699887e-43	0.275355642260086	0.243	0.132	2.79487466355096e-38
1.94701705639283e-42	-0.416688377265109	0.142	0.227	7.12627712810341e-38
3.05748229906857e-42	-0.437837179725584	0.34	0.42	1.11906909628209e-37
3.20118326544144e-42	0.260142778387342	0.203	0.102	1.17166508698422e-37
8.2063741792445e-42	0.261552981829299	0.292	0.169	3.00361501334528e-37
8.93521851497918e-42	0.295745957855098	0.322	0.196	3.27037932866753e-37
1.33028878448982e-41	0.305126221831	0.522	0.374	4.86898998011118e-37
4.17763764012841e-41	-0.267352579678052	0.805	0.819	1.5290571526634e-36
9.90117111590984e-41	0.336511551980814	0.566	0.428	3.62392764013416e-36
1.15960163519703e-40	0.321221517499416	0.623	0.481	4.24425794498465e-36
3.44293731705227e-40	-0.452682921332469	0.234	0.315	1.2601494874143e-35
3.51154752417057e-40	-0.372545473598413	0.088	0.159	1.28526150932167e-35
5.61608816881493e-40	-0.262987515650811	0.059	0.125	2.05554443066795e-35
1.04972644967152e-39	-0.436145414124557	0.267	0.347	3.84210377844272e-35
1.26627977691527e-39	0.27219576665651	0.894	0.881	4.63471061148757e-35
1.91516187354896e-39	0.275545379362848	0.196	0.1	7.00968397337655e-35
2.70702277000216e-39	0.273944565786804	0.411	0.271	9.90797404048492e-35
3.22381774137527e-39	0.30091424201148	0.639	0.497	1.17994953152076e-34
6.96288268716533e-39	-0.35995696820581	0.091	0.161	2.54848469232938e-34
1.53316107881785e-38	-0.329434320866604	0.078	0.146	5.61152286458123e-34
1.0402084096132e-37	0.255522627701243	0.42	0.279	3.80726680002526e-33
1.05537211385413e-37	0.254051532441792	0.365	0.232	3.86276747391749e-33
1.58189974435312e-37	0.251006889392666	0.741	0.648	5.78991125430684e-33
2.18265279025226e-37	0.277199520723125	0.733	0.603	7.98872747760228e-33
3.12876608190117e-37	-0.409650999645383	0.191	0.271	1.14515967363665e-32
4.15701158465967e-37	-0.347062194023492	0.608	0.63	1.52150781010129e-32
9.50251764640572e-37	0.30438681867015	0.335	0.216	3.47801648376096e-32
2.50552379328969e-36	-0.402924750451551	0.327	0.409	9.17046763581959e-32
